时间,地点,对阵/赛果,性质,主教练
2021.10.13,沙特 吉达,沙特3-2中国,12强赛,李铁
2021.10.08,阿联酋 沙迦,中国3-2越南,12强赛,李铁
2021.09.07,卡塔尔,中国0-1日本,12强赛,李铁
2021.09.03,卡塔尔,澳大利亚3-0中国,12强赛,李铁
2021.06.16,阿联酋 沙迦,中国3-1叙利亚,世预赛,李铁
2021.06.12,阿联酋 沙迦,中国5-0马尔代夫,世预赛,李铁
2021.06.08,阿联酋 沙迦,中国2-0菲律宾,世预赛,李铁
2021.05.30,苏州,关岛0-7中国,世预赛,李铁
2021.03.30,上海,山东泰山0-3中国,热身赛,李铁
2021.03.30,上海,嵩山龙门0-2中国,热身赛,李铁
2021.02.09,海口,长春亚泰0-2中国,热身赛,李铁
2021.02.05,海口,河北华夏1-5中国,热身赛,李铁
2020.05.26,上海,上海申花0-4中国,热身赛,李铁
2020.05.21,上海,上海上港1-4中国,热身赛,李铁
2020.01.21,广州,武汉卓尔0-1中国,热身赛,李铁
2020.01.18,广州,沈阳城市0-8中国,热身赛,李铁
2019.12.18,釜山,中国香港0-2中国,东亚杯,李铁
2019.12.15,釜山,韩国1-0中国,东亚杯,李铁
2019.12.10,釜山,日本2-1中国,东亚杯,李铁
2019.11.15,迪拜,叙利亚2-1中国,世预赛,武磊
2019.10.15,巴科洛德,菲律宾0-0中国,世预赛,里皮
2019.10.10,广州,中国7-0关岛,世预赛,里皮
2019.09.11,马累,马尔代夫0-5中国,世预赛,里皮
2019.06.11,广州,中国1-0塔吉克,热身,里皮
2019.06.07,广州,中国2-0菲律宾,热身,里皮
2019.03.25,南宁,中国0-1乌兹别克,中国杯,里皮
2019.03.21,南宁,中国0-1泰国,中国杯,里皮
2019.01.25,阿联酋,中国0-3伊朗,亚洲杯,里皮
2019.01.20,阿联酋,中国2-1泰国,亚洲杯,里皮
2019.01.16,阿联酋,中国0-2韩国,亚洲杯,里皮
2019.01.11,阿联酋,中国3-0菲律宾,亚洲杯,里皮
2019.01.07,阿联酋,中国2-1吉尔吉斯斯坦,亚洲杯,里皮
2018.11.20,南京,中国1-1巴勒斯坦,热身,里皮
2018.10.16,南京,叙利亚0-2中国,热身,里皮
2018.10.13,苏州,印度0-0中国,热身,里皮
2018.09.11,麦纳麦,巴林0-0中国,热身,里皮
2018.09.08,多哈,卡塔尔1-0中国,热身,里皮
2018.6.2,曼谷,泰国0-2中国,热身,里皮
2018.5.26,南京,缅甸0-1中国,热身,里皮
2018.03.26,南宁,中国1-4捷克,中国杯,里皮
2018.03.22,南宁,中国0-6威尔士,中国杯,里皮
2017.12.16,日本,中国1-1朝鲜,东亚杯,里皮
